umap_1,umap_2,label
9.855789,10.68004,Basophile
8.884729,10.25447,Basophile
-2.6402357,18.336985,Basophile
9.082062,9.480013,Basophile
8.96448,9.877175,Basophile
8.607369,9.802216,Basophile
8.818997,9.606244,Basophile
9.374439,10.224627,Basophile
9.276315,9.518166,Basophile
8.6469345,10.375666,Basophile
8.749746,10.355581,Basophile
8.780019,10.063987,Basophile
9.234115,9.108329,Basophile
9.899341,11.114602,Basophile
9.349342,9.970223,Basophile
9.172515,10.159019,Basophile
8.661712,9.584998,Basophile
8.456366,10.102212,Basophile
9.797219,10.657693,Basophile
9.088208,9.072531,Basophile
9.65949,9.766064,Basophile
9.880611,10.988554,Basophile
9.402445,9.983682,Basophile
8.784506,9.5568285,Basophile
8.990241,9.503838,Basophile
9.604635,10.285602,Basophile
8.628947,10.263411,Basophile
9.213452,9.916734,Basophile
-2.6260624,18.383793,Basophile
9.422833,9.557326,Basophile
9.488118,9.964653,Basophile
9.542003,9.843252,Basophile
9.564848,10.531842,Basophile
9.313835,9.70936,Basophile
8.293812,9.306977,Basophile
9.4876995,10.3225765,Basophile
9.934735,10.813049,Basophile
8.274092,9.721181,Basophile
8.468004,9.248588,Basophile
9.7168255,10.116736,Basophile
9.374623,9.663472,Basophile
9.823117,10.576574,Basophile
9.576953,9.693133,Basophile
8.706946,10.161528,Basophile
-2.6083598,18.334038,Basophile
-2.625993,18.314514,Basophile
8.528412,10.329564,Basophile
8.983001,10.185564,Basophile
9.253118,9.85368,Basophile
8.843019,9.295219,Basophile
8.76695,10.451212,Basophile
9.573718,10.9254465,Basophile
9.490694,10.275527,Basophile
8.535495,10.201201,Basophile
8.674838,10.232164,Basophile
8.794677,10.095087,Basophile
8.872594,9.887694,Basophile
8.941521,9.722268,Basophile
9.046609,10.500678,Basophile
8.800405,10.242819,Basophile
9.8359785,11.028156,Basophile
9.557879,10.355771,Basophile
9.0390835,9.633108,Basophile
9.600619,9.75369,Basophile
8.870584,9.51163,Basophile
9.931839,11.185764,Basophile
8.628446,10.257336,Basophile
9.17177,10.0729475,Basophile
9.523265,10.606405,Basophile
9.572565,10.347105,Basophile
9.147412,9.117642,Basophile
9.323811,9.884364,Basophile
9.27788,10.104053,Basophile
8.156698,9.600484,Basophile
9.22035,10.249046,Basophile
8.811202,10.1897,Basophile
-2.692353,18.638092,Basophile
8.717109,10.350376,Basophile
-2.5476198,18.497105,Basophile
9.863563,10.692043,Basophile
9.5654745,10.311817,Basophile
9.388214,9.822448,Basophile
9.866363,10.739978,Basophile
9.261055,9.7081785,Basophile
8.521175,10.292984,Basophile
9.752849,11.0523615,Basophile
8.468158,10.225869,Basophile
8.54683,9.533771,Basophile
9.041937,10.384671,Basophile
8.876628,9.680956,Basophile
-2.6415749,18.34093,Basophile
8.512116,10.238807,Basophile
9.024892,8.971012,Basophile
9.197254,10.517083,Basophile
-2.6263673,18.326212,Basophile
8.685012,9.971307,Basophile
9.813904,10.151279,Basophile
-2.5830362,18.423927,Basophile
8.957581,9.858914,Basophile
9.623346,9.682429,Basophile
9.66149,11.003196,Basophile
8.741418,9.981507,Basophile
2.66091,12.125603,Basophile
9.91791,11.208955,Basophile
8.686304,9.943413,Basophile
-2.646777,18.544086,Basophile
8.685224,10.118647,Basophile
9.604347,9.777428,Basophile
9.641433,9.9665165,Basophile
-2.5761466,18.493011,Basophile
8.549791,10.395079,Basophile
9.835271,11.074798,Basophile
9.801546,11.146915,Basophile
7.887083,9.159735,Basophile
9.088294,9.5779705,Basophile
9.473254,9.456649,Basophile
8.618007,9.479328,Basophile
9.527164,10.095651,Basophile
9.454124,9.296328,Basophile
9.942906,11.229374,Basophile
9.422282,9.4355955,Basophile
9.930083,11.051791,Basophile
8.9375305,9.759097,Basophile
9.107741,9.392253,Basophile
-2.4139745,18.44219,Basophile
8.9026985,8.984162,Basophile
8.464796,10.221249,Basophile
8.468701,9.355834,Basophile
9.246239,9.581298,Basophile
8.619136,10.069108,Basophile
8.8212385,10.125278,Basophile
8.674782,10.155357,Basophile
9.564227,9.812321,Basophile
9.655216,10.739931,Basophile
8.734573,10.158212,Basophile
9.089587,10.440721,Basophile
8.676047,9.642573,Basophile
8.7985115,10.287726,Basophile
9.851607,10.683966,Basophile
9.5982485,9.937576,Basophile
9.363049,10.085695,Basophile
8.553513,10.348878,Basophile
9.879315,10.710558,Basophile
8.441218,9.336215,Basophile
8.593595,10.351297,Basophile
9.6374035,10.622179,Basophile
9.939192,11.210502,Basophile
9.302257,9.557225,Basophile
9.298069,10.254167,Basophile
9.886847,11.074173,Basophile
9.758478,10.160163,Basophile
9.072021,10.151338,Basophile
8.734408,9.8044615,Basophile
9.816145,10.784079,Basophile
8.411962,8.606093,Basophile
8.884292,10.002139,Basophile
9.108537,10.266474,Basophile
8.348238,9.853039,Basophile
9.615423,10.048295,Basophile
9.150967,9.671853,Basophile
9.799226,10.715597,Basophile
8.549871,9.463137,Basophile
8.494069,10.266507,Basophile
9.106349,9.477611,Basophile
9.062241,10.493268,Basophile
8.396036,9.684758,Basophile
9.861917,10.6038265,Basophile
8.494047,10.17351,Basophile
8.653147,9.646738,Basophile
8.884103,10.278791,Basophile
9.9546175,11.145543,Basophile
8.899156,9.926046,Basophile
9.162214,9.726269,Basophile
9.850852,11.071636,Basophile
8.822123,10.4069195,Basophile
9.833586,10.894552,Basophile
9.6676035,10.84343,Basophile
8.513605,10.101898,Basophile
8.73753,9.264531,Basophile
-2.5780218,18.351583,Basophile
9.2469,9.465476,Basophile
8.918762,9.461385,Basophile
9.516778,9.768903,Basophile
8.812233,9.3099375,Basophile
8.11922,9.736314,Basophile
7.8494296,9.334431,Basophile
9.214054,9.679756,Basophile
8.6937475,10.086024,Basophile
9.514626,9.762203,Basophile
9.727634,10.102168,Basophile
9.8802805,11.169817,Basophile
8.851456,10.360238,Basophile
9.765638,10.990474,Basophile
6.598109,8.619463,Basophile
8.447248,9.080092,Basophile
9.337569,9.9718075,Basophile
9.619533,10.677101,Basophile
-2.6372986,18.324661,Basophile
8.5947485,9.392186,Basophile
9.540566,10.591277,Basophile
9.259774,10.203916,Basophile
8.330179,9.887789,Basophile
-2.3797731,18.717155,Basophile
9.326501,9.585673,Basophile
8.736462,10.384357,Basophile
8.688045,9.178376,Basophile
8.779602,9.973597,Basophile
9.047009,9.639055,Basophile
9.379137,9.640591,Basophile
9.271613,9.520155,Basophile
9.642311,10.805966,Basophile
9.223922,10.06245,Basophile
9.775297,10.021655,Basophile
8.522378,9.728735,Basophile
8.6152315,10.312081,Basophile
9.831665,11.039454,Basophile
8.786373,10.157887,Basophile
9.045449,9.304536,Basophile
9.719794,10.805772,Basophile
9.750168,10.871386,Basophile
9.29074,9.146167,Basophile
