              precision    recall  f1-score      support
0              0.987603  0.987603  0.987603   242.000000
1              1.000000  0.995177  0.997583   622.000000
2              0.996764  0.993548  0.995153   310.000000
3              0.956449  0.987889  0.971915   578.000000
4              0.987654  0.987654  0.987654   243.000000
5              0.982270  0.975352  0.978799   284.000000
6              0.990812  0.971471  0.981046   666.000000
7              1.000000  1.000000  1.000000   470.000000
accuracy       0.987116  0.987116  0.987116     0.987116
macro avg      0.987694  0.987337  0.987469  3415.000000
weighted avg   0.987312  0.987116  0.987150  3415.000000
