              precision    recall  f1-score      support
0              0.983673  0.995868  0.989733   242.000000
1              1.000000  0.998392  0.999195   622.000000
2              0.996753  0.990323  0.993528   310.000000
3              0.977470  0.975779  0.976623   578.000000
4              0.987705  0.991770  0.989733   243.000000
5              0.979094  0.989437  0.984238   284.000000
6              0.984917  0.980480  0.982694   666.000000
7              1.000000  1.000000  1.000000   470.000000
accuracy       0.989165  0.989165  0.989165     0.989165
macro avg      0.988702  0.990256  0.989468  3415.000000
weighted avg   0.989180  0.989165  0.989165  3415.000000
