              precision    recall  f1-score      support
0              0.991736  0.991736  0.991736   242.000000
1              1.000000  0.998392  0.999195   622.000000
2              0.996764  0.993548  0.995153   310.000000
3              0.970940  0.982699  0.976784   578.000000
4              0.991736  0.987654  0.989691   243.000000
5              0.979167  0.992958  0.986014   284.000000
6              0.989362  0.977477  0.983384   666.000000
7              1.000000  1.000000  1.000000   470.000000
accuracy       0.989751  0.989751  0.989751     0.989751
macro avg      0.989963  0.990558  0.990245  3415.000000
weighted avg   0.989807  0.989751  0.989761  3415.000000
