              precision    recall  f1-score      support
0              0.995851  0.991736  0.993789   242.000000
1              1.000000  0.998392  0.999195   622.000000
2              0.996764  0.993548  0.995153   310.000000
3              0.979381  0.986159  0.982759   578.000000
4              0.987705  0.991770  0.989733   243.000000
5              0.986014  0.992958  0.989474   284.000000
6              0.989442  0.984985  0.987208   666.000000
7              1.000000  0.997872  0.998935   470.000000
accuracy       0.991801  0.991801  0.991801     0.991801
macro avg      0.991895  0.992177  0.992031  3415.000000
weighted avg   0.991825  0.991801  0.991808  3415.000000
