              precision    recall  f1-score      support
0              0.991597  0.975207  0.983333   242.000000
1              1.000000  0.998392  0.999195   622.000000
2              0.993485  0.983871  0.988655   310.000000
3              0.943396  0.951557  0.947459   578.000000
4              0.983402  0.975309  0.979339   243.000000
5              0.954225  0.954225  0.954225   284.000000
6              0.970238  0.978979  0.974589   666.000000
7              1.000000  0.997872  0.998935   470.000000
accuracy       0.978331  0.978331  0.978331     0.978331
macro avg      0.979543  0.976927  0.978216  3415.000000
weighted avg   0.978441  0.978331  0.978371  3415.000000
