              precision    recall  f1-score      support
0              0.971774  0.995868  0.983673   242.000000
1              1.000000  0.996785  0.998390   622.000000
2              0.993569  0.996774  0.995169   310.000000
3              0.977113  0.960208  0.968586   578.000000
4              0.991837  1.000000  0.995902   243.000000
5              0.989399  0.985915  0.987654   284.000000
6              0.977612  0.983483  0.980539   666.000000
7              1.000000  1.000000  1.000000   470.000000
accuracy       0.987701  0.987701  0.987701     0.987701
macro avg      0.987663  0.989879  0.988739  3415.000000
weighted avg   0.987714  0.987701  0.987681  3415.000000
