              precision    recall  f1-score      support
0              0.987552  0.983471  0.985507   242.000000
1              1.000000  0.996785  0.998390   622.000000
2              0.987097  0.987097  0.987097   310.000000
3              0.952381  0.968858  0.960549   578.000000
4              0.995868  0.991770  0.993814   243.000000
5              0.982079  0.964789  0.973357   284.000000
6              0.977410  0.974474  0.975940   666.000000
7              0.997877  1.000000  0.998937   470.000000
accuracy       0.983309  0.983309  0.983309     0.983309
macro avg      0.985033  0.983405  0.984199  3415.000000
weighted avg   0.983405  0.983309  0.983337  3415.000000
