              precision    recall  f1-score      support
0              0.991736  0.991736  0.991736   242.000000
1              1.000000  0.996785  0.998390   622.000000
2              0.996774  0.996774  0.996774   310.000000
3              0.975904  0.980969  0.978430   578.000000
4              0.983740  0.995885  0.989775   243.000000
5              0.979167  0.992958  0.986014   284.000000
6              0.987860  0.977477  0.982642   666.000000
7              1.000000  0.997872  0.998935   470.000000
accuracy       0.989751  0.989751  0.989751     0.989751
macro avg      0.989398  0.991307  0.990337  3415.000000
weighted avg   0.989786  0.989751  0.989755  3415.000000
