              precision    recall  f1-score      support
0              0.991701  0.987603  0.989648   242.000000
1              1.000000  0.998392  0.999195   622.000000
2              0.996743  0.987097  0.991896   310.000000
3              0.953846  0.965398  0.959587   578.000000
4              0.995851  0.987654  0.991736   243.000000
5              0.975265  0.971831  0.973545   284.000000
6              0.975976  0.975976  0.975976   666.000000
7              0.997877  1.000000  0.998937   470.000000
accuracy       0.983895  0.983895  0.983895     0.983895
macro avg      0.985907  0.984244  0.985065  3415.000000
weighted avg   0.983975  0.983895  0.983925  3415.000000
