              precision    recall  f1-score      support
0              0.979424  0.983471  0.981443   242.000000
1              0.998390  0.996785  0.997586   622.000000
2              0.993590  1.000000  0.996785   310.000000
3              0.962393  0.974048  0.968186   578.000000
4              0.987654  0.987654  0.987654   243.000000
5              0.978873  0.978873  0.978873   284.000000
6              0.987842  0.975976  0.981873   666.000000
7              1.000000  0.997872  0.998935   470.000000
accuracy       0.986237  0.986237  0.986237     0.986237
macro avg      0.986021  0.986835  0.986417  3415.000000
weighted avg   0.986295  0.986237  0.986252  3415.000000
