              precision    recall  f1-score      support
0              0.991561  0.971074  0.981211   242.000000
1              1.000000  0.996785  0.998390   622.000000
2              0.993485  0.983871  0.988655   310.000000
3              0.950086  0.955017  0.952545   578.000000
4              0.979339  0.975309  0.977320   243.000000
5              0.955017  0.971831  0.963351   284.000000
6              0.973094  0.977477  0.975281   666.000000
7              1.000000  1.000000  1.000000   470.000000
accuracy       0.979795  0.979795  0.979795     0.979795
macro avg      0.980323  0.978921  0.979594  3415.000000
weighted avg   0.979904  0.979795  0.979831  3415.000000
